client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,category
ryanjohnson@example.net,8541822252,Data Export,Exported PDF looks blank.,Closed,2025-07-16,2025-08-03,Data Export
boothnicole@example.net,6694444990,UI Feedback,Too many clicks to perform actions.,Closed,2025-05-03,2025-05-04,UI Feedback
jeffrey10@example.org,748448216,Account Suspension,Terms of use were unclear.,Closed,2025-04-10,2025-04-21,General
zacharymora@example.com,4800085927,Login Issue,Login page taking too long to load.,Closed,2025-07-01,2025-07-02,Bug Report
groach@example.com,8190135985,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-02-13,2025-02-26,General
johnstonmatthew@example.net,7217999344,Account Suspension,Need help lifting restrictions.,Closed,2025-04-05,2025-04-07,General
ikelley@example.com,3473641233,Feature Request,Provide more chart types in dashboard.,Closed,2025-04-06,2025-04-07,Feature Request
amandagarrett@example.net,521315934,Data Export,Export email not received.,Closed,2025-03-26,2025-04-08,Data Export
jlopez@example.net,82341327,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-15,2025-05-21,Subscription Cancellation
harrisryan@example.org,781507832,Login Issue,Session expires immediately after login.,Closed,2025-03-16,2025-03-27,Bug Report
ierickson@example.org,527433531,Bug Report,Check/uncheck box not saving state.,Closed,2025-06-28,2025-07-16,Bug Report
qcarlson@example.com,5419334741,Feature Request,Request feature to duplicate projects.,Closed,2025-05-26,2025-06-04,Feature Request
fcole@example.org,2186769503,Subscription Cancellation,Still charged after cancellation.,Closed,2025-02-04,2025-02-09,Subscription Cancellation
wernermichael@example.org,6152117142,Billing Problem,Invoice still shows old company name.,Closed,2025-07-15,2025-07-25,Bug Report
abrown@example.com,8903550608,Feature Request,Multi-user role system would help.,Closed,2025-04-20,2025-04-21,Feature Request
gail00@example.com,5808402740,Technical Support,App crashes after update.,Closed,2025-04-12,2025-04-30,Technical Support
daviddixon@example.net,9448820999,Data Export,Export feature is not generating files.,Closed,2025-04-05,2025-04-07,Data Export
htaylor@example.net,529196014,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-07-13,2025-07-22,Subscription Cancellation
stonefrank@example.com,3644652451,Feature Request,Need in-app video tutorials.,Closed,2025-05-19,2025-05-24,Feature Request
sarah16@example.com,3337929771,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-07-13,2025-07-20,Bug Report
icombs@example.org,6643760907,Login Issue,Error 401 appearing on login.,Closed,2025-02-28,2025-03-08,Bug Report
leslie28@example.com,1833756155,Technical Support,Freezing during screen load.,Closed,2025-05-18,2025-05-26,Technical Support
oclark@example.org,3671881520,Data Export,Need JSON export option.,Closed,2025-05-28,2025-06-12,Data Export
eric99@example.com,3185190847,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-03-17,2025-03-26,General
johnlawson@example.com,3608812101,Feature Request,Provide more chart types in dashboard.,Closed,2025-02-02,2025-02-06,Feature Request
taylorwalker@example.net,1243979671,Login Issue,Two-factor authentication is not sending code.,Closed,2025-04-01,2025-04-04,Bug Report
jlee@example.net,9656267585,Account Suspension,Need reason for my suspension.,Closed,2025-02-15,2025-02-18,General
richard54@example.org,5463230342,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-02-16,2025-02-22,Bug Report
lisamiller@example.net,1434900076,Feature Request,Can you include language translation?,Closed,2025-02-08,2025-02-10,Feature Request
sandrapark@example.com,8060270670,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-13,2025-06-19,UI Feedback
tpalmer@example.net,1680837163,UI Feedback,Dark mode missing in login.,Closed,2025-05-09,2025-05-10,UI Feedback
maurice36@example.net,2852033325,Login Issue,Session expires immediately after login.,Closed,2025-05-30,2025-06-05,Bug Report
thood@example.org,9188425138,Subscription Cancellation,Wrong account cancelled.,Closed,2025-03-16,2025-03-20,Subscription Cancellation
williamkane@example.net,9842783899,Bug Report,Chart not updating after data refresh.,Closed,2025-06-24,2025-07-02,Bug Report
valdezchad@example.net,4284590631,UI Feedback,Sidebar hides important links.,Closed,2025-03-17,2025-03-29,UI Feedback
jordan34@example.org,4510894986,Data Export,Filters not applying in exported data.,Closed,2025-04-22,2025-05-03,Data Export
annataylor@example.net,3755194392,Account Suspension,Account banned during payment process.,Closed,2025-05-28,2025-05-30,General
colin42@example.net,7669735504,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-07-02,2025-07-06,Subscription Cancellation
fernandezjimmy@example.com,4811415413,Payment Failure,Need confirmation after retry.,Closed,2025-03-09,2025-03-25,Billing Problem
jason14@example.com,1721466248,UI Feedback,Too many clicks to perform actions.,Closed,2025-02-25,2025-03-06,UI Feedback
bmedina@example.com,7307105914,Login Issue,Error 401 appearing on login.,Closed,2025-06-09,2025-06-17,Bug Report
susan67@example.org,2945483468,Technical Support,Error 500 on accessing dashboard.,Closed,2025-03-22,2025-03-30,Technical Support
lhouse@example.net,5234640902,Billing Problem,Unable to update billing address.,Closed,2025-07-24,2025-08-02,Bug Report
alvaradolaurie@example.com,4955829993,Payment Failure,Bank transaction shows pending.,Closed,2025-02-10,2025-02-12,Billing Problem
tonyatodd@example.com,1300597557,Technical Support,Can’t sync data across devices.,Closed,2025-05-01,2025-05-09,Technical Support
hunterlogan@example.com,6271213856,Billing Problem,Need clarification on currency charges.,Closed,2025-02-03,2025-02-18,Bug Report
twilliams@example.com,9887832937,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-04-29,2025-05-06,Subscription Cancellation
johnberger@example.org,4646030970,Account Suspension,Can I restore my data after suspension?,Closed,2025-02-25,2025-03-01,General
djohnson@example.com,9311052049,Payment Failure,Bank transaction shows pending.,Closed,2025-07-10,2025-07-16,Billing Problem
rchapman@example.org,3375920589,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-04-22,2025-04-23,UI Feedback
zadams@example.org,8760322579,Subscription Cancellation,Can’t contact support post cancellation.,Closed,2025-02-16,2025-02-19,Subscription Cancellation
ucannon@example.org,9824892263,Account Suspension,Terms of use were unclear.,Closed,2025-06-19,2025-06-24,General
qmiller@example.org,5776888054,Feature Request,Provide more chart types in dashboard.,Closed,2025-07-15,2025-07-31,Feature Request
gallagherwilliam@example.net,3143822615,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-03-07,2025-03-15,General
brittney06@example.com,2613677453,Data Export,Can’t schedule data export.,Closed,2025-06-23,2025-06-28,Data Export
kbyrd@example.com,7007580696,Data Export,Need monthly data dump in CSV.,Closed,2025-07-02,2025-07-06,Data Export
david42@example.com,3147826168,Account Suspension,Unjustified account suspension request.,Closed,2025-07-23,2025-07-26,General
agriffith@example.org,4506751117,Data Export,Zip file corrupted during export.,Closed,2025-06-13,2025-06-16,Data Export
dana74@example.com,7283192495,Bug Report,Color scheme inconsistent.,Closed,2025-07-27,2025-08-09,Bug Report
josephhamilton@example.org,4655292979,Account Suspension,Can I restore my data after suspension?,Closed,2025-02-05,2025-02-14,General
michael32@example.net,9475468769,Bug Report,Form validation not working properly.,Closed,2025-02-06,2025-02-07,Bug Report
sextonjessica@example.net,1934974045,Data Export,Filters not applying in exported data.,Closed,2025-02-10,2025-02-13,Data Export
chelsea99@example.org,7201640697,Data Export,Need monthly data dump in CSV.,Closed,2025-04-09,2025-04-28,Data Export
daniel85@example.net,6805673764,UI Feedback,Icons not intuitive.,Closed,2025-05-26,2025-05-29,UI Feedback
george48@example.com,7053025353,Feature Request,Can we have auto-save for drafts?,Closed,2025-02-08,2025-02-09,Feature Request
erin70@example.com,3222530758,Subscription Cancellation,Can’t contact support post cancellation.,Closed,2025-06-13,2025-06-14,Subscription Cancellation
adamgillespie@example.net,6671508774,Feature Request,Need in-app video tutorials.,Closed,2025-06-24,2025-06-26,Feature Request
pamelaferguson@example.org,6618336687,UI Feedback,Error messages not clear enough.,Closed,2025-07-25,2025-08-01,UI Feedback
jamesgarza@example.com,8120901652,Subscription Cancellation,Data wiped immediately after cancel.,Closed,2025-06-13,2025-06-21,Subscription Cancellation
michelle33@example.net,6074716531,Feature Request,Provide more chart types in dashboard.,Closed,2025-01-29,2025-02-05,Feature Request
erin91@example.com,5550883835,Account Suspension,Suspension mail was too vague.,Closed,2025-01-30,2025-02-02,General
vward@example.com,6501807479,Bug Report,Sidebar collapses on scroll.,Closed,2025-03-02,2025-03-03,Bug Report
gallagherraymond@example.org,2649053086,Technical Support,Can’t sync data across devices.,Closed,2025-04-11,2025-04-21,Technical Support
williamsmatthew@example.net,4008923275,Account Suspension,Can’t access services due to ban.,Closed,2025-05-05,2025-05-10,General
laurie30@example.com,893015346,Account Suspension,Terms of use were unclear.,Closed,2025-05-29,2025-05-30,General
christine23@example.net,6106676817,Technical Support,Settings not saving properly.,Closed,2025-06-18,2025-06-24,Technical Support
obennett@example.org,3688695553,Subscription Cancellation,Data wiped immediately after cancel.,Closed,2025-05-17,2025-05-20,Subscription Cancellation
garrettricky@example.net,5395896728,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-06-04,2025-06-05,Subscription Cancellation
ellenhernandez@example.org,7483269069,Account Suspension,Can’t access services due to ban.,Closed,2025-06-21,2025-06-27,General
wconway@example.net,9479994882,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-07-12,2025-07-14,Bug Report
kristen99@example.net,4139687469,Account Suspension,Can I restore my data after suspension?,Closed,2025-03-04,2025-03-05,General
alexandermatthew@example.net,412678997,Subscription Cancellation,Data wiped immediately after cancel.,Closed,2025-06-06,2025-06-08,Subscription Cancellation
qpalmer@example.com,5117466911,Login Issue,Redirect loop after logging in.,Closed,2025-07-27,2025-07-31,Bug Report
jimbailey@example.com,8405890436,UI Feedback,Sidebar hides important links.,Closed,2025-04-27,2025-04-30,UI Feedback
davisdenise@example.net,2072465942,UI Feedback,Sidebar hides important links.,Closed,2025-07-27,2025-08-04,UI Feedback
andrewlam@example.net,7871243070,Bug Report,Search bar resets randomly.,Closed,2025-04-27,2025-05-11,Bug Report
rromero@example.com,3499934602,Feature Request,Add folder structure to organize data.,Closed,2025-04-28,2025-05-13,Feature Request
amccall@example.com,2770076999,Account Suspension,Can’t access services due to ban.,Closed,2025-05-09,2025-05-11,General
duncanjennifer@example.org,6179776368,Feature Request,Suggesting calendar integration.,Closed,2025-02-18,2025-02-24,Feature Request
caguilar@example.org,4597003787,Bug Report,Date selector not responsive.,Closed,2025-06-18,2025-06-26,Bug Report
vanessajohnson@example.net,1880913482,Subscription Cancellation,Want refund for unused days.,Closed,2025-04-13,2025-04-17,Subscription Cancellation
williamsjennifer@example.net,7842983835,Payment Failure,Need confirmation after retry.,Closed,2025-06-04,2025-06-09,Billing Problem
mikelee@example.org,7189394078,Feature Request,Multi-user role system would help.,Closed,2025-05-14,2025-05-21,Feature Request
kevin85@example.org,7857187029,Payment Failure,EMI option not available anymore.,Closed,2025-07-16,2025-07-22,Billing Problem
michaellisa@example.net,7233854286,Technical Support,Live chat not launching.,Closed,2025-06-17,2025-06-28,Technical Support
fernandezcheryl@example.com,3389814778,Feature Request,Requesting PDF report generation.,Closed,2025-07-17,2025-07-18,Feature Request
farrelljohn@example.org,4150011112,Bug Report,Reports section not opening.,Closed,2025-07-26,2025-08-03,Bug Report
kimberlyrichards@example.org,186347758,Account Suspension,How do I appeal a suspension?,Closed,2025-03-27,2025-04-02,General
bradleyaaron@example.net,7315205223,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-05-01,2025-05-03,Bug Report
jwebb@example.net,7507742765,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-03-20,2025-03-23,Bug Report
mbryan@example.net,4768637041,Data Export,Export email not received.,Closed,2025-07-26,2025-07-28,Data Export
amygill@example.net,3039554110,UI Feedback,Text is too small on mobile.,Closed,2025-07-07,2025-07-08,UI Feedback
millerheather@example.net,2273004599,Feature Request,Can you include language translation?,Closed,2025-07-24,2025-07-31,Feature Request
amanda85@example.net,2492620871,Bug Report,Blank screen after form submission.,Closed,2025-01-29,2025-01-30,Bug Report
christopherkane@example.org,6627247912,Subscription Cancellation,Subscription stuck in pending cancel state.,Closed,2025-05-12,2025-05-21,Subscription Cancellation
lbennett@example.com,4360708497,Technical Support,Feature working on web but not mobile.,Closed,2025-05-23,2025-05-29,Technical Support
mcollins@example.com,1349671800,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-05-26,2025-05-30,Subscription Cancellation
bblack@example.com,5918683755,Technical Support,Can’t sync data across devices.,Closed,2025-02-23,2025-02-27,Technical Support
washingtonchristian@example.com,6723473021,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-07-09,2025-07-10,Bug Report
jeffreyjackson@example.org,7888005777,Data Export,Charts not included in report export.,Closed,2025-03-07,2025-03-11,Data Export
robert74@example.com,9623222016,Subscription Cancellation,Subscription stuck in pending cancel state.,Closed,2025-05-20,2025-06-05,Subscription Cancellation
scottsullivan@example.net,8930011423,Payment Failure,Payment success mail delayed.,Closed,2025-04-13,2025-04-15,Billing Problem
romerovictor@example.net,1840858606,Login Issue,Login page taking too long to load.,Closed,2025-07-02,2025-07-03,Bug Report
jamiebright@example.com,2692870140,Payment Failure,Wrong currency charged.,Closed,2025-04-16,2025-04-28,Billing Problem
mbrown@example.org,5432304631,Billing Problem,Invoice still shows old company name.,Closed,2025-06-26,2025-07-03,Bug Report
tpalmer@example.org,9110277631,Technical Support,Can’t install latest update.,Closed,2025-05-05,2025-05-06,Technical Support
donald41@example.com,3051337983,Login Issue,Seeing 'invalid session token' error.,Closed,2025-03-16,2025-03-18,Bug Report
christophersmith@example.org,3479143555,Login Issue,Login page taking too long to load.,Closed,2025-05-21,2025-05-23,Bug Report
thomashughes@example.org,910568049,Login Issue,Two-factor authentication is not sending code.,Closed,2025-02-20,2025-03-02,Bug Report
janesanchez@example.org,1520922326,Account Suspension,Need clarification on temporary lockout.,Closed,2025-03-17,2025-03-21,General
jonesmaria@example.org,979086896,Account Suspension,How do I appeal a suspension?,Closed,2025-04-26,2025-05-06,General
davisjasmin@example.net,5280107524,Technical Support,Live chat not launching.,Closed,2025-05-08,2025-05-09,Technical Support
rpowell@example.org,8002409441,Billing Problem,Promo code was not applied.,Closed,2025-04-26,2025-04-28,Bug Report
timothyford@example.org,6052827441,UI Feedback,Icons not intuitive.,Closed,2025-06-03,2025-06-05,UI Feedback
smithmichael@example.net,9921330960,Bug Report,Dropdown not loading values.,Closed,2025-03-12,2025-03-19,Bug Report
uharris@example.com,9561914018,Payment Failure,Bank transaction shows pending.,Closed,2025-05-31,2025-06-03,Billing Problem
robert30@example.com,1320047950,Bug Report,Date selector not responsive.,Closed,2025-07-18,2025-07-20,Bug Report
morenomalik@example.org,8234418052,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-07-18,2025-07-20,UI Feedback
donna49@example.com,1171488681,Feature Request,Need voice assistant for dashboard.,Closed,2025-04-18,2025-04-27,Feature Request
jonathan33@example.org,9071518916,UI Feedback,Font inconsistent across pages.,Closed,2025-02-18,2025-02-19,UI Feedback
tarawilliams@example.org,5527084714,Data Export,Time range in export is incorrect.,Closed,2025-03-14,2025-03-28,Data Export
brittany53@example.org,4349696836,Login Issue,App logs me out automatically.,Closed,2025-03-19,2025-04-01,Bug Report
williamsbrian@example.net,5726215895,Account Suspension,Received policy violation but unclear why.,Closed,2025-07-14,2025-07-19,General
jeremy41@example.org,7616263,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-05-24,2025-06-01,Bug Report
tonya26@example.com,4960368084,Feature Request,Multi-user role system would help.,Closed,2025-04-17,2025-05-01,Feature Request
robertwarner@example.org,4046393649,Data Export,Charts not included in report export.,Closed,2025-02-16,2025-02-23,Data Export
ipena@example.com,8463234638,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-04-25,2025-04-26,General
edwardsanna@example.com,6251168958,Data Export,Export email not received.,Closed,2025-06-03,2025-06-05,Data Export
john17@example.com,6300820799,Technical Support,Graphs not rendering properly.,Closed,2025-06-23,2025-06-27,Technical Support
sergio20@example.com,4781830134,Billing Problem,Unable to update billing address.,Closed,2025-05-10,2025-05-15,Bug Report
ljohnson@example.com,4133969277,Feature Request,Provide more chart types in dashboard.,Closed,2025-04-16,2025-04-25,Feature Request
smithjulia@example.net,4045735011,Account Suspension,My account was suspended without notice.,Closed,2025-03-16,2025-03-19,General
angellucas@example.org,5199381333,Subscription Cancellation,Wrong account cancelled.,Closed,2025-07-27,2025-07-28,Subscription Cancellation
duncanamber@example.org,7645220717,Bug Report,Exported file missing columns.,Closed,2025-06-24,2025-06-27,Bug Report
angelahendricks@example.net,97122271,Login Issue,App logs me out automatically.,Closed,2025-07-03,2025-07-07,Bug Report
nwalters@example.com,8439251944,Technical Support,Download button is inactive.,Closed,2025-05-08,2025-05-16,Technical Support
rodriguezlaura@example.org,527858494,Technical Support,Error 500 on accessing dashboard.,Closed,2025-06-29,2025-07-05,Technical Support
tdelgado@example.com,2377199931,Feature Request,Ability to bulk edit entries needed.,Closed,2025-04-29,2025-05-07,Feature Request
benjaminarias@example.org,4049555242,Technical Support,Getting JSON decode error.,Closed,2025-02-19,2025-03-02,Technical Support
william74@example.com,5434563605,Data Export,Export email not received.,Closed,2025-05-28,2025-06-04,Data Export
duncandonna@example.net,9625614560,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-07-24,2025-07-25,Bug Report
lsmith@example.org,6650778236,Payment Failure,Need GST invoice after payment.,Closed,2025-02-23,2025-03-01,Billing Problem
austin67@example.org,6898589961,Feature Request,Request feature to duplicate projects.,Closed,2025-07-10,2025-07-17,Feature Request
jill19@example.com,1293134445,Feature Request,Suggesting calendar integration.,Closed,2025-07-18,2025-07-25,Feature Request
scott02@example.net,955278180,Bug Report,Date selector not responsive.,Closed,2025-03-25,2025-03-31,Bug Report
macdonaldregina@example.com,6535963588,Billing Problem,Refund not credited after 7 days.,Closed,2025-04-22,2025-05-03,Bug Report
qsnow@example.net,5705849945,Login Issue,Redirect loop after logging in.,Closed,2025-06-04,2025-06-07,Bug Report
cyang@example.net,9586237155,UI Feedback,Table headers not sticky.,Closed,2025-07-05,2025-07-11,UI Feedback
tina37@example.org,5772499567,Billing Problem,Duplicate transaction found.,Closed,2025-06-02,2025-06-10,Bug Report
annawyatt@example.net,8084585105,Account Suspension,Need help lifting restrictions.,Closed,2025-04-02,2025-04-10,General
odonnellmary@example.com,118391607,Bug Report,Blank screen after form submission.,Closed,2025-03-28,2025-04-03,Bug Report
phillipwilliams@example.org,4034855368,Login Issue,Two-factor authentication is not sending code.,Closed,2025-04-25,2025-05-09,Bug Report
hudsontiffany@example.org,7226353874,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-02-16,2025-02-18,Subscription Cancellation
dianamooney@example.com,6582465273,Bug Report,Form validation not working properly.,Closed,2025-05-30,2025-05-31,Bug Report
davidsimpson@example.org,6574640972,Login Issue,Login button is unresponsive.,Closed,2025-06-07,2025-06-13,Bug Report
john04@example.net,1986626684,UI Feedback,Sidebar hides important links.,Closed,2025-02-15,2025-02-17,UI Feedback
wbailey@example.com,5575865229,Technical Support,Settings not saving properly.,Closed,2025-02-13,2025-02-15,Technical Support
qmartin@example.org,1051608192,Subscription Cancellation,Subscription stuck in pending cancel state.,Closed,2025-07-09,2025-07-17,Subscription Cancellation
hwells@example.com,5997562717,Feature Request,Save filter views for reuse.,Closed,2025-06-18,2025-06-20,Feature Request
ejames@example.com,2121015859,Bug Report,Back button doesn’t work.,Closed,2025-06-02,2025-06-03,Bug Report
desiree51@example.org,4937051016,Feature Request,Can you include language translation?,Closed,2025-03-03,2025-03-05,Feature Request
harveygabriel@example.com,3919058454,Technical Support,Notifications are not working.,Closed,2025-02-24,2025-02-26,Technical Support
luisgonzalez@example.net,4915616478,UI Feedback,Table headers not sticky.,Closed,2025-04-09,2025-04-24,UI Feedback
georgejennings@example.net,1997896067,Billing Problem,Invoice PDF is missing this month.,Closed,2025-05-30,2025-06-07,Bug Report
andrewsjanice@example.com,4650541791,Payment Failure,Wrong currency charged.,Closed,2025-04-26,2025-05-03,Billing Problem
bishopmary@example.net,3354905307,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-05-13,2025-05-19,Subscription Cancellation
dstone@example.net,2880395125,Feature Request,Need voice assistant for dashboard.,Closed,2025-02-22,2025-03-07,Feature Request
ortizsamantha@example.net,6890166739,Data Export,Exported Excel has broken formatting.,Closed,2025-05-15,2025-05-23,Data Export
angelicaharris@example.org,2681255489,Payment Failure,Card declined despite funds.,Closed,2025-02-09,2025-02-15,Billing Problem
mooneyvictoria@example.net,587568376,Technical Support,Can’t sync data across devices.,Closed,2025-03-28,2025-03-29,Technical Support
bmoran@example.net,1071297889,Login Issue,Session expires immediately after login.,Closed,2025-06-12,2025-06-17,Bug Report
gailramos@example.org,4606793806,Billing Problem,Invoice still shows old company name.,Closed,2025-07-27,2025-08-02,Bug Report
chad75@example.net,5260730874,Bug Report,Tab focus jumps incorrectly.,Closed,2025-03-11,2025-03-22,Bug Report
elijah69@example.org,6182268350,Login Issue,Cannot log in on mobile app.,Closed,2025-02-22,2025-02-26,Bug Report
hensleyscott@example.org,309344096,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-05-18,2025-05-31,General
williamsronald@example.net,7070974142,Feature Request,Can you include language translation?,Closed,2025-04-06,2025-04-10,Feature Request
scollins@example.net,8207426668,Login Issue,Seeing 'invalid session token' error.,Closed,2025-07-20,2025-07-27,Bug Report
heathjacob@example.org,6584139419,Data Export,Export feature is not generating files.,Closed,2025-06-18,2025-06-21,Data Export
gregorybyrd@example.com,2368271797,Login Issue,Captcha keeps looping during login.,Closed,2025-04-04,2025-04-06,Bug Report
cassandra14@example.net,7076422513,UI Feedback,Tooltips not displaying on hover.,Closed,2025-02-21,2025-03-01,UI Feedback
debrahamilton@example.org,6126326627,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-03-19,2025-03-31,UI Feedback
frank39@example.net,7278196929,Payment Failure,Card declined despite funds.,Closed,2025-01-29,2025-02-03,Billing Problem
leerobinson@example.com,9138379311,Subscription Cancellation,Data wiped immediately after cancel.,Closed,2025-06-01,2025-06-13,Subscription Cancellation
greenbrittany@example.com,7041531664,Technical Support,White screen on startup.,Closed,2025-07-06,2025-07-08,Technical Support
anna63@example.net,2355681624,Technical Support,Getting JSON decode error.,Closed,2025-04-24,2025-04-27,Technical Support
matthew01@example.org,9849596963,Technical Support,Live chat not launching.,Closed,2025-06-14,2025-06-15,Technical Support
tanya59@example.net,4826848002,Technical Support,Notifications are not working.,Closed,2025-02-10,2025-02-12,Technical Support
gmann@example.com,9429264619,Feature Request,Can we have auto-save for drafts?,Closed,2025-03-20,2025-03-24,Feature Request
jennifer77@example.com,2905220586,Technical Support,Can’t sync data across devices.,Closed,2025-02-27,2025-03-12,Technical Support
davisjanice@example.net,8560728620,Billing Problem,Billed for a cancelled plan.,Closed,2025-03-17,2025-03-24,Bug Report
jarmstrong@example.net,1266360582,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-07-04,2025-07-05,General
cynthiaball@example.com,1140183401,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-06-07,2025-06-11,Bug Report
andreamelendez@example.com,4726559002,Data Export,Exported PDF looks blank.,Closed,2025-05-15,2025-05-16,Data Export
vmolina@example.net,9245632876,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-03-08,2025-03-11,Subscription Cancellation
richard27@example.com,2086860131,UI Feedback,Filter section takes too much space.,Closed,2025-03-24,2025-04-07,UI Feedback
austin27@example.net,5127912748,Data Export,Can’t schedule data export.,Closed,2025-02-10,2025-02-21,Data Export
zunigajames@example.org,3928472784,Feature Request,Suggesting calendar integration.,Closed,2025-03-11,2025-03-20,Feature Request
michaeljohnson@example.org,9546549866,Technical Support,App crashes after update.,Closed,2025-07-05,2025-07-08,Technical Support
salazarkeith@example.org,8452466730,Technical Support,Live chat not launching.,Closed,2025-06-07,2025-06-09,Technical Support
othompson@example.com,5355123225,Feature Request,Requesting PDF report generation.,Closed,2025-02-24,2025-02-25,Feature Request
johnnygardner@example.com,6711181040,Feature Request,Save filter views for reuse.,Closed,2025-06-06,2025-06-11,Feature Request
samanthahubbard@example.org,3161589276,Payment Failure,Payment shows success but app locked.,Closed,2025-03-19,2025-03-25,Billing Problem
xswanson@example.net,7368947928,Technical Support,Settings not saving properly.,Closed,2025-06-10,2025-06-15,Technical Support
jose90@example.org,5521960544,Feature Request,Can you include language translation?,Closed,2025-04-23,2025-04-29,Feature Request
conniebooker@example.org,393508752,Bug Report,Date selector not responsive.,Closed,2025-06-16,2025-06-24,Bug Report
nroy@example.org,5904966686,Feature Request,Please add support for dark mode.,Closed,2025-04-28,2025-04-29,Feature Request
christopherbrown@example.org,9063483738,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-02-06,2025-02-18,UI Feedback
travismcclure@example.com,8817417224,Subscription Cancellation,Can’t contact support post cancellation.,Closed,2025-05-22,2025-05-23,Subscription Cancellation
justinhernandez@example.com,6099357727,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-03-08,2025-03-19,Bug Report
kevin56@example.net,9023760273,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-07-17,2025-07-24,UI Feedback
lcampbell@example.org,8986549814,Subscription Cancellation,Subscription stuck in pending cancel state.,Closed,2025-03-21,2025-03-23,Subscription Cancellation
michaelsalinas@example.net,5319056304,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-02-24,2025-02-27,General
jordan85@example.net,4124434738,Account Suspension,Can I restore my data after suspension?,Closed,2025-06-15,2025-06-18,General
bakerhenry@example.net,5482056779,Login Issue,Unable to login with correct credentials.,Closed,2025-02-04,2025-02-06,Bug Report
rachelosborne@example.com,7100257390,Subscription Cancellation,App locked after cancellation.,Closed,2025-06-14,2025-07-01,Subscription Cancellation
jenna83@example.org,7271338616,Technical Support,Cannot upload files to cloud.,Closed,2025-05-12,2025-05-17,Technical Support
sonyamclaughlin@example.org,4455133044,Billing Problem,Invoice PDF is missing this month.,Closed,2025-06-12,2025-06-16,Bug Report
jacqueline22@example.org,7727983801,Account Suspension,Account banned during payment process.,Closed,2025-07-11,2025-07-13,General
fshort@example.org,5292361681,UI Feedback,Tooltips not displaying on hover.,Closed,2025-04-28,2025-05-12,UI Feedback
michaelhickman@example.com,657627907,Login Issue,Session expires immediately after login.,Closed,2025-05-23,2025-06-01,Bug Report
cherylgarcia@example.net,1559209571,Technical Support,Download button is inactive.,Closed,2025-04-09,2025-04-22,Technical Support
christine02@example.org,8196285259,UI Feedback,Dark mode missing in login.,Closed,2025-04-18,2025-05-01,UI Feedback
ashleymerritt@example.com,2812865254,Login Issue,Getting 'user not found' even with valid ID.,Closed,2025-05-14,2025-05-25,Bug Report
davidortiz@example.net,2360334540,Payment Failure,Payment failed due to card error.,Closed,2025-05-05,2025-05-08,Billing Problem
douglas14@example.com,9256041944,Subscription Cancellation,Still charged after cancellation.,Closed,2025-05-19,2025-05-27,Subscription Cancellation
tbarber@example.com,4346722254,Billing Problem,Invoice PDF is missing this month.,Closed,2025-02-15,2025-02-16,Bug Report
robertmoore@example.org,1914599846,Technical Support,Download button is inactive.,Closed,2025-06-20,2025-06-26,Technical Support
michael93@example.org,8421302309,Data Export,Export button missing from UI.,Closed,2025-03-16,2025-03-20,Data Export
yford@example.org,2643798288,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-03-06,2025-03-09,UI Feedback
henryschmidt@example.net,6083048827,Payment Failure,Card declined despite funds.,Closed,2025-05-28,2025-05-30,Billing Problem
hartdonald@example.net,6526697908,Feature Request,Suggesting calendar integration.,Closed,2025-05-18,2025-05-24,Feature Request
christopher04@example.com,5073661347,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-06-05,2025-06-07,Subscription Cancellation
